text,label
point today someone says something remotely kind waterfall burst eyes,anger
corningfootball game day minus relentless,anger
game pissed game year blood boiling time turn stlcards,anger
spamvicious ive found candice candace pout likes,anger
moocowward mrsajhargreaves melly garybarlow cant come muma th k tweets soreloser,anger
moocowward mrsajhargreaves melly garybarlow cant come muma th k tweets bitter soreloser,anger
wanna go home focus game dont wanna rage,anger
virginmedia ive disconnected whilst holiday dont move house st october furious,anger
virginmedia ive disconnected whilst holiday dont move house st october,anger
wanna see smile dont wanna see make frown,anger
shaecaitlin ur road rage gives anxiety,anger
emilsonwheels im furious,anger
etherealmystic winning war raging inside mind desire love rolling something,anger
gonna give kkk police bitch minimum sentencejust wattch angry,anger
gonna give kkk police bitch minimum sentencejust wattch,anger
got murdered madden,anger
nephew sees frown face tells youre beautiful,anger
cutefunnyanimal luvcaps sisters dog think knows itll provoke reaction,anger
new madden video gonna xbox ahole going struggles,anger
animosity toward hillary comes conspiracy theories perception animosity toward trump based says,anger
yay bmth canceled melbourne show fanfuckingtastic lost days pay hotel fees happy atm sad angry,anger
yay bmth canceled melbourne show fanfuckingtastic lost days pay hotel fees happy atm sad,anger
watch amyah throw temper tantrums gets mad something im like damnit cant nothing laugh,anger
crystaldiamondo impossible say hope dont unwittingly trigger ferocious side hell hath fury,anger
sportingtommo asfcofficial doubt going struggle year moments like payet take sting,anger
autocorrect changes em resent greatly,anger
candice great british bake pout head,anger
point scorning fury labor nothing address long term detention need resettle asylumseekers manus nauru,anger
huge congratulations nicole winning big brother bbnicole bb sorry sorry bitter bbmichelle,anger
huge congratulations nicole winning big brother bbnicole bb sorry sorry bbmichelle,anger
fast furious monday pm mbc,anger
sorry burst anti allo spam fuck messaging app launching without encryption default,anger
im shady one jongdaes ex rumoured girlfriends going wgm im saying im joyed im joyed bitter,anger
im shady one jongdaes ex rumoured girlfriends going wgm im saying im joyed im joyed,anger
work yesterday old cunt couple told coffees cold wanted refund put finger front angrily,anger
want say something bad cant furious,anger
competition suppose motivate better everytime bitter time de philosopher dj kyos nquote success csgo,anger
thereval please tell us protesting injustice requires burning beating looting terrible optics toussaintromain true leader,anger
xboxmad robotbrush ballmer furious another delivery lost,anger
stop tracking back fucking potato faced cunt errrr infuriating angry rooney mufc,anger
stop tracking back fucking potato faced cunt errrr infuriating rooney mufc,anger
thebarmyarmy looking forward div next year andybarmyarmy revenge leictershireaway therey,anger
thebarmyarmy looking forward div next year andybarmyarmy leictershireaway therey,anger
agirlhasnoname mdlmurray shot black police woman typical looney toon thinkinghillary divide anger chaos,anger
cant believe virginmedia putting prices already know im struggling pay bill amp wont change package,anger
cant believe virginmedia putting prices already know im struggling pay bill amp wont change package raging,anger
yal aggravate tf outta acting lying yal cant tell difference dyke man rarely hard tell difference,anger
could get line block germantownbroncos lilleague popwarner broncos usafootball offense lineman,anger
star trek online update download oh fuming yay,anger
newageinsiders chaoticwrestlin daviennelong make sure tell scared revenge,anger
spookyhelder specifically cause resent considered enemy,anger
war right outside door rage usatoday,anger
war right outside door usatoday,anger
guy raging hard rocket league game beat started crying laughing hard lol,anger
donlemon listening politicians making angry im fucking tired political speak career politicians patmccrorync,anger
bored rn leave kiksnapchat kik kikme kikmessage boredaf bored snapchatme snapchat snap country countrygirl,anger
bored rn leave kiksnapchat kik kikme kikmessage boredaf bored snapchatme snapchat country countrygirl,anger
easyjet hi folks flight going hour late departing inv ezy go getting refund please boiling,anger
easyjet hi folks flight going hour late departing inv ezy go getting refund please,anger
louiseannexx u fucked house ill always hold grudge,anger
josefcd reddoukun devenluca supersoniclemon also likes incurring lilys wrath,anger
readingfc eflcup remind twentys plenty revenge,anger
readingfc eflcup remind twentys plenty,anger
twojacksdetail bluelivesmtr rare officer shoots without regard dont want conscience incite inflame,anger
twojacksdetail bluelivesmtr rare officer shoots without regard dont want conscience incite,anger
fakingaleto gerard finally made stairs little huff face little red little legs,anger
happened need smoke burning,anger
happened need smoke,anger
really wish road rage wasnt damn bad lmaooooo,anger
lucymellor idea exhausted tidying room burst crying fs,anger
nahtewilly afp neither intelligent definitive useful shall name call would like expand offend,anger
think youve got together day randomly burst crying,anger
offend tansorma,anger
jamielamieee gerbicapiral dory look burst laughing,anger
wellermonica hi monica write regularly ctysmallholding bees never dared try buzz sting honey,anger
wellermonica hi monica write regularly ctysmallholding bees never dared try buzz honey,anger
smendler watch ppl filled w impotent rage time led anything,anger
killed spider big sprayed spider guts like horror movienugh revenge,anger
sopandeb johnrobertsfox azizansari lets stereotype south asians relentless beat reporters,anger
alexphilip step boiling broccoli tbh,anger
rohanconnolly think highprofile female colleague would one yhat category massexodus,anger
rohanconnolly think highprofile female colleague would one yhat category massexodus bitter,anger
ee whats p minute charge insult injury,anger
last night rev dr earl johnson spoke wake progressive democrats transforming moral outrage effective political action,anger
repealremove johnson amendment direct affront first amendment constitution,anger
hate little girls got lot growing fuming,anger
hate little girls got lot growing,anger
used pawn red womans game try fret act nothing amiss royal theladyofglenco,anger
police atlanta rapper shawty lo killed fiery car crash,anger
jamierjn shes political map relentless pursuit power,anger
ones gonna chill bc fake outrage fun space college,anger
almost feel offended thinks thats big deal shes knows ill literally anything kai,anger
discriminate generates hatenand hate youre bound get irate,anger
weak people revenge strong people forgive intelligent people ignore,anger
wanna kill destroy want died want flint back emo scene anger fuck die hatered,anger
wanna kill destroy want died want flint back emo scene fuck die hatered,anger
wanna kill destroy want died want back emo scene fuck die hatered,anger
wanna kill destroy want died want back emo scene anger fuck die hatered,anger
using multiple combs simultaneously like call impressive work ohsnap daaamn,anger
using multiple combs simultaneously like call impressive work snap ohsnap daaamn,anger
nothing relentless dog begging food,anger
ok got madden refunded gotta wait days money gotta preorder fifa,anger
deadspin rlblackrob guess hes convenient target misplaced anger theyre really mad played,anger
people smoke cigarettes irritate soul,anger
favourite quote year far ameliameech swore parsnip,anger
favourite quote year far ameliameech swore parsnip raging,anger
threat factors respect provocation bulb worm bnqo,anger
scorpio always seek revenge,anger
selfhatred gives rise fury fury desire selfchange,anger
sting like bee youre still honey,anger
u time open snap u time respond,anger
may offend say u never trust cop color especially white evidence clear klan awoke,anger
joeshennan meanwhile joshuamurraybm getting train hope really really enjoy hotel shennan fuming,anger
joeshennan meanwhile joshuamurraybm getting train hope really really enjoy hotel shennan,anger
forgiveness might make us look weak weakest person one holds anger hatred revenge,anger
forgiveness might make us look weak weakest person one holds anger hatred,anger
winchestergank lol wish understood crazy rabid fans amp addressed,anger
way availablecar wash hands mistakes disgraceful left driving round tyre burst moment,anger
people talk words sting handle differs like change culturebedifferent,anger
quick listen slow speak slow anger,anger
quick listen slow speak slow,anger
yannarell lolgop despite outrage fatigue dont lose shine,anger
police dont wanna called pigs keep actin like emhonestly thats even insult pigs,anger
troubled soul dont loose heart cause joy peace brings beauty thats store outweighs hurt lifes sting,anger
floated like butterflies sting like bees,anger
dont like pineapple eat pizza lose sting get cooked,anger
ok fast amp furious movies classified comedys,anger
shonnaludi braaaat resentment,anger
offense doctor crying tears joy realizing family christmas cute,anger
jankhambrams sound like husband enistachia makes hotter hotter sauce fiery torment brings mouthjoy,anger
warning sensitive angry insecure baby today ugh people large either hate ignore bc literallythe worst,anger
karev better seriously done done greysabc unfair ugh,anger
black female leo shot times died philadelphia wheres outrage black people barackobama sharpton blm thefive,anger
jessicavalenti nytimes dont know wasnt punk mostly white men throwing tantrums,anger
oh daaaaaaamn sophiabush getitgirl girlpower anger rawr chicagopd,anger
oh daaaaaaamn sophiabush getitgirl girlpower rawr chicagopd,anger
im deleting social media apps phone might keep snap chat insta ill never,anger
panpiper playing big river outside bridges sr outrage,anger
