text,label
This is so frustrating,anger
I am extremely annoyed,anger
I feel very low today,sadness
I feel empty inside,sadness
I am really happy today,joy
This made me so happy,joy
I am scared about my future,fear
I feel very anxious,fear
I love spending time with you,love
I really care about you,love
I feel normal today,neutral
Nothing special happened,neutral
I did not expect this,surprise
That shocked me,surprise
This is disgusting,disgust
That was gross,disgust
I feel really happy today,joy
Today was a great day,joy
I am in a really good mood,joy
This made my day,joy
I feel amazing right now,joy
Everything is going well,joy
I feel so positive today,joy
I am enjoying this moment,joy
I feel cheerful and relaxed,joy
I can't stop smiling today,joy
I feel very low today,sadness
I don’t feel like doing anything,sadness
Everything feels heavy,sadness
I feel empty inside,sadness
I just feel lost,sadness
I am feeling down,sadness
Nothing feels right,sadness
I feel emotionally drained,sadness
I just want to be alone,sadness
I feel really sad today,sadness
This is so frustrating,anger
I am really annoyed right now,anger
This makes me so mad,anger
I feel like shouting,anger
Why does this always happen,anger
I am pissed off right now,anger
This is getting on my nerves,anger
I am irritated by this,anger
I hate this situation,anger
I am extremely frustrated,anger
I feel scared about what will happen,fear
I am really nervous right now,fear
I feel anxious about this,fear
Something feels wrong,fear
I feel uneasy,fear
I am worried about my future,fear
I am afraid of what’s coming,fear
This makes me nervous,fear
I feel a bit panicked,fear
I don’t feel safe,fear
I really care about you,love
I love spending time with you,love
You mean a lot to me,love
I feel connected to you,love
I appreciate you,love
I feel loved,love
I enjoy being with you,love
You matter to me,love
I trust you a lot,love
I feel close to you,love
I am just sitting here,neutral
Nothing much is happening,neutral
It’s a normal day,neutral
I am doing my work,neutral
Everything is okay,neutral
I feel fine,neutral
Just another regular day,neutral
I am going through my routine,neutral
Nothing special today,neutral
I am just chilling,neutral
I did not expect this,surprise
That was unexpected,surprise
Wow that surprised me,surprise
This came out of nowhere,surprise
I wasn’t ready for that,surprise
That shocked me,surprise
I didn’t see that coming,surprise
That was surprising,surprise
I’m amazed by this,surprise
This is shocking,surprise
This is disgusting,disgust
That was gross,disgust
I feel sick looking at this,disgust
This is horrible,disgust
I can’t stand this,disgust
This is really bad,disgust
That made me uncomfortable,disgust
This is not okay at all,disgust
I hate seeing this,disgust
That was nasty,disgust
I feel happy but a little nervous,joy
I am okay but tired,neutral
I feel sad but trying to stay strong,sadness
I am nervous but excited,fear
I feel angry but also hurt,anger
I feel good but a bit worried,joy
I feel low but hopeful,sadness
I am scared but trying to stay calm,fear
I feel okay but something feels off,neutral
I am happy but confused,joy
